text,font_name,size,weight,italic,p-touch_width,p-touch_height,skia_width,skia_height,skia_width_diff_pct,skia_height_diff_pct,core_text_width,core_text_height,core_text_width_diff_pct,core_text_height_diff_pct,pango_width,pango_height,pango_width_diff_pct,pango_height_diff_pct,harfbuzz_width,harfbuzz_height,harfbuzz_width_diff_pct,harfbuzz_height_diff_pct,freetype_width,freetype_height,freetype_width_diff_pct,freetype_height_diff_pct,pil_width,pil_height,pil_width_diff_pct,pil_height_diff_pct,approximation_width,approximation_height,approximation_width_diff_pct,approximation_height_diff_pct
ab,Comic Sans MS,45.7,normal,No,48.1,63.7,50.83232498168945,54.84,5.680509317441687,-13.908948194662479,48.98267919921875,61.74,1.8350918902676705,-3.076923076923078,65.66,87.72,36.5072765072765,37.70800627943484,50.83232498168945,54.84,5.680509317441687,-13.908948194662479,50.83232498168945,54.84,5.680509317441687,-13.908948194662479,50.83232498168945,54.84,5.680509317441687,-13.908948194662479,52.098,63.066,8.311850311850307,-0.995290423861853
1,Comic Sans MS,45.7,normal,No,15.2,63.7,25.416162490844727,54.84,67.21159533450479,-13.908948194662479,17.96103720703125,61.74,18.164718467310863,-3.076923076923078,25.136999999999997,87.72,65.37499999999999,37.70800627943484,25.416162490844727,54.84,67.21159533450479,-13.908948194662479,25.416162490844727,54.84,67.21159533450479,-13.908948194662479,25.416162490844727,54.84,67.21159533450479,-13.908948194662479,13.0245,63.066,-14.312499999999998,-0.995290423861853
1,Comic Sans MS,12.0,normal,No,4.6,16.7,6.673828125,14.399999999999999,45.08322010869566,-13.772455089820365,4.71624609375,15.68,2.527088994565219,-6.1077844311377225,6.5169999999999995,23.46,41.67391304347826,40.479041916167674,6.673828125,14.399999999999999,45.08322010869566,-13.772455089820365,6.673828125,14.399999999999999,45.08322010869566,-13.772455089820365,6.673828125,14.399999999999999,45.08322010869566,-13.772455089820365,3.4199999999999995,16.56,-25.652173913043484,-0.8383233532934166
ab,Comic Sans MS,12.0,normal,No,13.3,16.7,13.34765625,14.399999999999999,0.35831766917292696,-13.772455089820365,12.86197265625,15.68,-3.293438674812036,-6.1077844311377225,16.66,23.46,25.26315789473684,40.479041916167674,13.34765625,14.399999999999999,0.35831766917292696,-13.772455089820365,13.34765625,14.399999999999999,0.35831766917292696,-13.772455089820365,13.34765625,14.399999999999999,0.35831766917292696,-13.772455089820365,13.679999999999998,16.56,2.8571428571428363,-0.8383233532934166
abcdefghi,Comic Sans MS,12.0,normal,No,55.7,16.7,52.04296875,14.399999999999999,-6.56558572710952,-13.772455089820365,54.13623046875,15.68,-2.8074856934470427,-6.1077844311377225,70.56,23.46,26.678635547576302,40.479041916167674,52.04296875,14.399999999999999,-6.56558572710952,-13.772455089820365,52.04296875,14.399999999999999,-6.56558572710952,-13.772455089820365,52.04296875,14.399999999999999,-6.56558572710952,-13.772455089820365,61.559999999999995,16.56,10.520646319569106,-0.8383233532934166
abcdefghi,Helsinki Narrow,12.0,normal,No,42.5,15.5,44.813671875000004,14.399999999999999,5.443933823529422,-7.096774193548397,36.277734375,12.6,-14.640624999999996,-18.709677419354843,68.6,16.32,61.41176470588234,5.290322580645164,41.82609375,12.251660156249999,-1.5856617647058864,-20.957031250000007,40.0,17.478125,-5.88235294117647,12.762096774193541,43.0,7.699999999999999,1.1764705882352942,-50.322580645161295,43.2,15.84,1.6470588235294186,2.1935483870967736
ab,Helsinki Narrow,12.0,normal,No,11.1,15.5,11.492578125,14.399999999999999,3.536739864864865,-7.096774193548397,9.303515625,12.6,-16.184543918918923,-18.709677419354843,17.64,16.32,58.918918918918926,5.290322580645164,10.72640625,12.251660156249999,-3.365709459459455,-20.957031250000007,10.0,17.478125,-9.909909909909906,12.762096774193541,11.0,6.3,-0.9009009009008978,-59.354838709677416,9.600000000000001,15.84,-13.513513513513498,2.1935483870967736
1,Helsinki Narrow,12.0,normal,No,3.4,15.5,5.7462890625,14.399999999999999,69.00850183823529,-7.096774193548397,4.18658203125,12.6,23.134765625000014,-18.709677419354843,8.379,16.32,146.4411764705882,5.290322580645164,4.8268828125,12.251660156249999,41.96714154411765,-20.957031250000007,2.5,17.478125,-26.47058823529412,12.762096774193541,2.5,6.3,-26.47058823529412,-59.354838709677416,2.4000000000000004,15.84,-29.411764705882344,2.1935483870967736
1,Helsinki,12.0,normal,No,3.9,15.5,7.007519531250001,14.399999999999999,79.67998798076925,-7.096774193548397,5.40580078125,13.299999999999999,38.61027644230769,-14.19354838709678,8.635499999999999,16.32,121.42307692307688,5.290322580645164,6.12657421875,12.251660156249999,57.09164663461539,-20.957031250000007,3.8500000000000005,18.025,-1.2820512820512662,16.290322580645153,3.8500000000000005,6.3,-1.2820512820512662,-59.354838709677416,3.2399999999999998,15.84,-16.923076923076927,2.1935483870967736
ab,Helsinki,12.0,normal,No,13.4,15.5,14.7041015625,14.399999999999999,9.732101212686564,-7.096774193548397,12.012890625,13.299999999999999,-10.351562499999996,-14.19354838709678,18.18,16.32,35.67164179104477,5.290322580645164,14.283984375000001,12.251660156249999,6.596898320895528,-20.957031250000007,15.400000000000002,18.025,14.925373134328371,16.290322580645153,16.5,6.3,23.134328358208954,-59.354838709677416,12.959999999999999,15.84,-3.2835820895522483,2.1935483870967736
